Predicted_X,Predicted_Y,Z_HW_elev,Z_FW_elev
424047.78,338030.0,332.0,80.0
424257.62,338030.0,332.0,80.0
424467.5,338030.0,332.0,80.0
424677.38,338030.0,320.0,80.0
424887.22,338030.0,320.0,80.0
425097.1,338030.0,320.0,80.0
425306.94,338030.0,320.0,80.0
425516.8,338030.0,320.0,80.0
425726.7,338030.0,320.0,80.0
425936.53,338030.0,308.0,80.0
426146.4,338030.0,308.0,80.0
426356.28,338030.0,308.0,80.0
426566.12,338030.0,308.0,80.0
426776.0,338030.0,296.0,80.0
426985.84,338030.0,296.0,80.0
427195.72,338030.0,296.0,80.0
427405.6,338030.0,284.0,92.0
427615.44,338030.0,284.0,92.0
427825.3,338030.0,284.0,92.0
428035.16,338030.0,272.0,92.0
428245.03,338030.0,272.0,92.0
428454.9,338030.0,272.0,92.0
428664.75,338030.0,260.0,92.0
428874.62,338030.0,,
429084.5,338030.0,,
429294.34,338030.0,,
429504.22,338030.0,,
429714.06,338030.0,,
429923.94,338030.0,,
430133.8,338030.0,,
430343.66,338030.0,,
430553.53,338030.0,,
430763.38,338030.0,,
430973.25,338030.0,,
431183.12,338030.0,,
431392.97,338030.0,,
431602.84,338030.0,,
431812.72,338030.0,,
432022.56,338030.0,,
432232.44,338030.0,,
432442.28,338030.0,,
432652.16,338030.0,,
432862.03,338030.0,,
433071.88,338030.0,,
433281.75,338030.0,,
433491.6,338030.0,,
433701.47,338030.0,,
433911.34,338030.0,,
434121.2,338030.0,,
434331.06,338030.0,,
434540.94,338030.0,,
434750.78,338030.0,,
434960.66,338030.0,,
435170.5,338030.0,,
435380.38,338030.0,,
435590.25,338030.0,,
435800.1,338030.0,,
436009.97,338030.0,,
436219.8,338030.0,,
436429.7,338030.0,,
436639.56,338030.0,,
436849.4,338030.0,,
437059.28,338030.0,,
437269.16,338030.0,,
437479.0,338030.0,,
437688.88,338030.0,,
437898.72,338030.0,,
438108.6,338030.0,,
438318.47,338030.0,,
438528.3,338030.0,,
438738.2,338030.0,,
438948.03,338030.0,,
439157.9,338030.0,,
439367.78,338030.0,,
439577.62,338030.0,,
439787.5,338030.0,,
439997.38,338030.0,,
440207.22,338030.0,,
440417.1,338030.0,,
440626.94,338030.0,,
440836.8,338030.0,,
441046.7,338030.0,,
441256.53,338030.0,,
441466.4,338030.0,,
441676.25,338030.0,,
441886.12,338030.0,,
442096.0,338030.0,,
442305.84,338030.0,,
442515.72,338030.0,,
442725.6,338030.0,,
442935.44,338030.0,,
443145.3,338030.0,,
443355.16,338030.0,,
443565.03,338030.0,,
443774.9,338030.0,,
443984.75,338030.0,,
444194.62,338030.0,,
444404.47,338030.0,,
444614.34,338030.0,,
444824.22,338030.0,,
445034.06,338030.0,,
445243.94,338030.0,,
445453.8,338030.0,,
445663.66,338030.0,,
445873.53,338030.0,,
446083.38,338030.0,,
446293.25,338030.0,,
446503.12,338030.0,,
446712.97,338030.0,,
446922.84,338030.0,,
447132.7,338030.0,,
447342.56,338030.0,,
447552.44,338030.0,,
447762.28,338030.0,,
447972.16,338030.0,,
448182.03,338030.0,,
448391.88,338030.0,,
448601.75,338030.0,,
448811.6,338030.0,,
449021.47,338030.0,,
449231.34,338030.0,,
449441.2,338030.0,,
449651.06,338030.0,,
449860.9,338030.0,,
450070.78,338030.0,,
450280.66,338030.0,,
450490.5,338030.0,,
450700.38,338030.0,,
450910.25,338030.0,,
451120.1,338030.0,,
451329.97,338030.0,,
451539.8,338030.0,,
451749.7,338030.0,,
451959.56,338030.0,,
452169.4,338030.0,,
452379.28,338030.0,,
452589.12,338030.0,,
452799.0,338030.0,,
453008.88,338030.0,,
453218.72,338030.0,,
453428.6,338030.0,,
453638.47,338030.0,,
453848.3,338030.0,,
454058.2,338030.0,,
454268.03,338030.0,,
454477.9,338030.0,,
454687.78,338030.0,,
454897.62,338030.0,,
455107.5,338030.0,,
455317.34,338030.0,,
455527.22,338030.0,,
455737.1,338030.0,,
455946.94,338030.0,,
456156.8,338030.0,,
456366.7,338030.0,,
456576.53,338030.0,,
456786.4,338030.0,,
456996.25,338030.0,,
457206.12,338030.0,,
457416.0,338030.0,,
457625.84,338030.0,,
457835.72,338030.0,,
458045.6,338030.0,,
458255.44,338030.0,,
458465.3,338030.0,,
458675.16,338030.0,,
458885.03,338030.0,,
459094.9,338030.0,,
459304.75,338030.0,,
459514.62,338030.0,,
459724.47,338030.0,,
459934.34,338030.0,,
460144.22,338030.0,,
418381.47,338232.62,,
418591.34,338232.62,,
418801.2,338232.62,,
419011.06,338232.62,,
419220.94,338232.62,,
419430.78,338232.62,,
419640.66,338232.62,,
419850.5,338232.62,,
420060.38,338232.62,,
420270.25,338232.62,,
420480.1,338232.62,,
420689.97,338232.62,,
420899.84,338232.62,,
421109.7,338232.62,,
421319.56,338232.62,,
421529.4,338232.62,,
421739.28,338232.62,,
421949.16,338232.62,,
422159.0,338232.62,,
422368.88,338232.62,,
422578.72,338232.62,,
422788.6,338232.62,,
422998.47,338232.62,,
423208.3,338232.62,,
423418.2,338232.62,,
423628.06,338232.62,332.0,80.0
423837.9,338232.62,332.0,80.0
424047.78,338232.62,332.0,80.0
424257.62,338232.62,332.0,80.0
424467.5,338232.62,332.0,80.0
424677.38,338232.62,332.0,80.0
424887.22,338232.62,320.0,80.0
425097.1,338232.62,320.0,80.0
425306.94,338232.62,320.0,80.0
425516.8,338232.62,320.0,80.0
425726.7,338232.62,320.0,80.0
425936.53,338232.62,320.0,80.0
426146.4,338232.62,308.0,80.0
426356.28,338232.62,308.0,80.0
426566.12,338232.62,308.0,80.0
426776.0,338232.62,308.0,80.0
426985.84,338232.62,296.0,80.0
427195.72,338232.62,296.0,80.0
427405.6,338232.62,296.0,80.0
427615.44,338232.62,284.0,92.0
427825.3,338232.62,284.0,92.0
428035.16,338232.62,284.0,92.0
428245.03,338232.62,272.0,92.0
428454.9,338232.62,272.0,92.0
428664.75,338232.62,,
428874.62,338232.62,,
429084.5,338232.62,,
429294.34,338232.62,,
429504.22,338232.62,,
429714.06,338232.62,,
429923.94,338232.62,,
430133.8,338232.62,,
430343.66,338232.62,,
430553.53,338232.62,,
430763.38,338232.62,,
430973.25,338232.62,,
431183.12,338232.62,,
431392.97,338232.62,,
431602.84,338232.62,,
431812.72,338232.62,,
432022.56,338232.62,,
432232.44,338232.62,,
432442.28,338232.62,,
432652.16,338232.62,,
432862.03,338232.62,,
433071.88,338232.62,,
433281.75,338232.62,,
433491.6,338232.62,,
433701.47,338232.62,,
433911.34,338232.62,,
434121.2,338232.62,,
434331.06,338232.62,,
434540.94,338232.62,,
434750.78,338232.62,,
434960.66,338232.62,,
435170.5,338232.62,,
435380.38,338232.62,,
435590.25,338232.62,,
435800.1,338232.62,,
436009.97,338232.62,,
436219.8,338232.62,,
436429.7,338232.62,,
436639.56,338232.62,,
436849.4,338232.62,,
437059.28,338232.62,,
437269.16,338232.62,,
437479.0,338232.62,,
437688.88,338232.62,,
437898.72,338232.62,,
438108.6,338232.62,,
438318.47,338232.62,,
438528.3,338232.62,,
438738.2,338232.62,,
438948.03,338232.62,,
439157.9,338232.62,,
439367.78,338232.62,,
439577.62,338232.62,,
439787.5,338232.62,,
439997.38,338232.62,,
440207.22,338232.62,,
440417.1,338232.62,,
440626.94,338232.62,,
440836.8,338232.62,,
441046.7,338232.62,,
441256.53,338232.62,,
441466.4,338232.62,,
